A,LA,H,V,HRk,HAvAge,HGP,HW,HL,HOL,HPTS,HPTS%,HGF,HGA,HSOW,HSOL,HSRS,HSOS,HGF/G,HGA/G,HPP,HPPO,HPP%,HPPA,HPPOA,HPK%,HSH,HSHA,HPIM/G,HoPIM/G,HS,HS%,HSA,HSV%,HSO,HCAN,VRk,VAvAge,VGP,VW,VL,VOL,VPTS,VPTS%,VGF,VGA,VSOW,VSOL,VSRS,VSOS,VGF/G,VGA/G,VPP,VPPO,VPP%,VPPA,VPPOA,VPK%,VSH,VSHA,VPIM/G,VoPIM/G,VS,VS%,VSA,VSV%,VSO,VCAN,MDAY,TDAY,WDAY,ThDAY,FDAY,SDAY,SuDAY,DIV,CAP,LCAP,PA,HSTAR,VSTAR
19813.0,9.89409356689426,Florida Panthers,Boston Bruins,5.0,29.5,82.0,52.0,24.0,6.0,110.0,0.671,265.0,198.0,3.0,2.0,0.81,-0.02,3.23,2.41,63.0,268.0,23.51,51.0,291.0,82.47,8.0,9.0,13.6,13.5,2764.0,9.6,2279.0,0.913,8.0,0,6.0,28.6,82.0,47.0,20.0,15.0,109.0,0.665,263.0,221.0,4.0,3.0,0.53,0.01,3.21,2.7,54.0,243.0,22.22,47.0,268.0,82.46,7.0,6.0,9.5,8.8,2399.0,11.0,2504.0,0.912,5.0,0,0,1,0,0,0,0,0,1,19109,9.857914707241372,1.0368412789784918,1,1
17151.0,9.749811759932081,Seattle Kraken,St. Louis Blues,24.0,29.4,82.0,34.0,35.0,13.0,81.0,0.494,214.0,232.0,3.0,4.0,-0.26,-0.03,2.61,2.83,50.0,242.0,20.66,47.0,222.0,78.83,6.0,9.0,8.0,8.1,2347.0,9.1,2391.0,0.903,5.0,0,16.0,29.0,82.0,43.0,33.0,6.0,92.0,0.561,234.0,248.0,5.0,2.0,-0.14,-0.01,2.85,3.02,45.0,250.0,18.0,46.0,215.0,78.6,11.0,7.0,7.4,8.6,2370.0,9.9,2636.0,0.906,4.0,0,0,1,0,0,0,0,0,0,17100,9.746833742490752,1.0029824561403509,0,0
18347.0,9.81722135237872,Edmonton Oilers,Winnipeg Jets,9.0,29.4,82.0,49.0,27.0,6.0,104.0,0.634,292.0,236.0,2.0,1.0,0.65,-0.04,3.56,2.88,64.0,243.0,26.34,53.0,258.0,79.46,7.0,5.0,9.5,8.5,2768.0,10.5,2307.0,0.898,4.0,1,4.0,29.4,82.0,52.0,24.0,6.0,110.0,0.671,259.0,198.0,0.0,1.0,0.69,-0.04,3.16,2.41,45.0,240.0,18.75,51.0,223.0,77.13,3.0,5.0,8.2,8.9,2488.0,10.4,2429.0,0.918,8.0,1,0,0,1,0,0,0,0,0,18347,9.81722135237872,1.0,1,0
21105.0,9.9572652582166,Montreal Canadiens,Toronto Maple Leafs,28.0,26.7,82.0,30.0,36.0,16.0,76.0,0.463,232.0,281.0,4.0,8.0,-0.59,0.05,2.83,3.43,44.0,252.0,17.46,65.0,277.0,76.53,7.0,12.0,10.2,10.0,2269.0,10.2,2738.0,0.897,2.0,1,10.0,28.9,82.0,46.0,26.0,10.0,102.0,0.622,298.0,261.0,5.0,2.0,0.5,0.01,3.63,3.18,57.0,238.0,23.95,55.0,238.0,76.89,6.0,9.0,9.9,10.2,2671.0,11.2,2446.0,0.893,5.0,1,0,0,1,0,0,0,0,1,21105,9.9572652582166,1.0,0,1
18190.0,9.808627271512169,Pittsburgh Penguins,New York Rangers,19.0,31.3,82.0,38.0,32.0,12.0,88.0,0.537,253.0,248.0,2.0,3.0,0.05,0.0,3.09,3.02,40.0,262.0,15.27,47.0,243.0,80.66,5.0,12.0,7.4,7.9,2685.0,9.4,2479.0,0.9,8.0,0,1.0,29.1,82.0,55.0,23.0,4.0,114.0,0.695,278.0,226.0,4.0,3.0,0.61,-0.03,3.39,2.76,65.0,246.0,26.42,36.0,232.0,84.48,8.0,6.0,9.4,10.4,2582.0,10.8,2418.0,0.907,6.0,0,0,0,1,0,0,0,0,1,18387,9.819399172153842,0.9892859085223256,1,1
18850.0,9.844268192876157,Vancouver Canucks,Calgary Flames,7.0,28.6,82.0,50.0,23.0,9.0,109.0,0.665,279.0,221.0,0.0,2.0,0.64,-0.04,3.4,2.7,58.0,257.0,22.57,53.0,254.0,79.13,7.0,7.0,9.6,9.7,2328.0,12.0,2343.0,0.906,7.0,1,25.0,29.2,82.0,38.0,39.0,5.0,81.0,0.494,253.0,267.0,0.0,4.0,-0.2,0.02,3.09,3.26,45.0,252.0,17.86,47.0,245.0,80.82,11.0,11.0,9.4,9.2,2572.0,9.8,2438.0,0.89,2.0,1,0,0,1,0,0,0,0,1,18910,9.847446161652503,0.9968270756213644,1,0
18388.0,9.819453556926119,Vegas Golden Knights,Colorado Avalanche,14.0,29.0,82.0,45.0,29.0,8.0,98.0,0.598,263.0,243.0,4.0,2.0,0.22,-0.05,3.21,2.96,51.0,252.0,20.24,44.0,213.0,79.34,9.0,8.0,7.4,8.5,2548.0,10.3,2487.0,0.902,3.0,0,8.0,28.8,82.0,50.0,25.0,7.0,107.0,0.652,302.0,252.0,2.0,2.0,0.57,-0.05,3.68,3.07,68.0,278.0,24.46,53.0,264.0,79.92,7.0,6.0,8.9,9.7,2705.0,11.2,2444.0,0.897,4.0,0,0,0,1,0,0,0,0,0,17500,9.769956159911606,1.0507428571428572,0,1
17850.0,9.789758787207784,Boston Bruins,Montreal Canadiens,6.0,28.6,82.0,47.0,20.0,15.0,109.0,0.665,263.0,221.0,4.0,3.0,0.53,0.01,3.21,2.7,54.0,243.0,22.22,47.0,268.0,82.46,7.0,6.0,9.5,8.8,2399.0,11.0,2504.0,0.912,5.0,0,28.0,26.7,82.0,30.0,36.0,16.0,76.0,0.463,232.0,281.0,4.0,8.0,-0.59,0.05,2.83,3.43,44.0,252.0,17.46,65.0,277.0,76.53,7.0,12.0,10.2,10.0,2269.0,10.2,2738.0,0.897,2.0,1,0,0,0,1,0,0,0,1,17565,9.773663564699927,1.0162254483347566,1,0
19070.0,9.855871698594465,Buffalo Sabres,Los Angeles Kings,22.0,25.7,82.0,39.0,37.0,6.0,84.0,0.512,244.0,243.0,2.0,1.0,0.03,0.01,2.98,2.96,37.0,223.0,16.59,49.0,243.0,79.84,7.0,10.0,9.8,9.2,2534.0,9.6,2402.0,0.899,5.0,0,12.0,29.5,82.0,44.0,27.0,11.0,99.0,0.604,254.0,210.0,2.0,5.0,0.45,-0.05,3.1,2.56,56.0,248.0,22.58,39.0,253.0,84.58,11.0,7.0,8.7,9.5,2616.0,9.7,2296.0,0.909,7.0,0,0,0,0,1,0,0,0,0,19029,9.853719410302007,1.0021546061274895,0,0
19515.0,9.878938679614715,Detroit Red Wings,Pittsburgh Penguins,18.0,29.3,82.0,41.0,32.0,9.0,91.0,0.555,275.0,273.0,3.0,1.0,0.06,0.02,3.35,3.33,63.0,273.0,23.08,49.0,240.0,79.58,7.0,10.0,8.7,9.9,2375.0,11.6,2657.0,0.897,4.0,0,19.0,31.3,82.0,38.0,32.0,12.0,88.0,0.537,253.0,248.0,2.0,3.0,0.05,0.0,3.09,3.02,40.0,262.0,15.27,47.0,243.0,80.66,5.0,12.0,7.4,7.9,2685.0,9.4,2479.0,0.9,8.0,0,0,0,0,1,0,0,0,0,20000,9.903487552536127,0.97575,0,1
18613.0,9.831615540298333,Minnesota Wild,Columbus Blue Jackets,20.0,29.3,82.0,39.0,34.0,9.0,87.0,0.53,248.0,260.0,3.0,3.0,-0.14,0.01,3.02,3.17,62.0,273.0,22.71,67.0,263.0,74.52,3.0,11.0,11.4,11.3,2471.0,10.0,2437.0,0.893,6.0,0,29.0,26.8,82.0,27.0,43.0,12.0,66.0,0.402,234.0,298.0,3.0,2.0,-0.72,0.05,2.85,3.63,32.0,212.0,15.09,56.0,236.0,76.27,5.0,6.0,8.2,7.6,2458.0,9.5,2822.0,0.894,1.0,0,0,0,0,1,0,0,0,0,17954,9.795568210316635,1.0367049125543055,1,0
