Team,Arena,Capacity
Chicago Blackhawks,United Center,19717.0
Montreal Canadiens,Bell Centre,21105.0
Detroit Red Wings,Joe Louis Arena,20027.0
Philadelphia Flyers,Wells Fargo Center,19538.0
Toronto Maple Leafs,Air Canada Centre,18800.0
Ottawa Senators,Scotiabank Place,19347.0
Calgary Flames,Scotiabank Saddledome,19289.0
Tampa Bay Lightning,Tampa Bay Times Forum,19092.0
Buffalo Sabres,First Niagara Center,19070.0
Vancouver Canucks,Rogers Arena,18910.0
Minnesota Wild,Xcel Energy Center,17954.0
Pittsburgh Penguins,Consol Energy Center,18387.0
Los Angeles Kings,Staples Center,18230.0
Washington Capitals,Verizon Center,18573.0
Boston Bruins,TD Garden,17565.0
San Jose Sharks,HP Pavilion at San Jose,
Carolina Hurricanes,PNC Arena,18700.0
St. Louis Blues,Scottrade Center,18096.0
New York Rangers,Madison Square Garden,18006.0
New Jersey Devils,Prudential Center,16514.0
Dallas Stars,American Airlines Center,18532.0
Florida Panthers,BankAtlantic Center,19250.0
Nashville Predators,Bridgestone Arena,17159.0
Edmonton Oilers,Rexall Place,17100.0
Anaheim Ducks,Honda Center,17174.0
Colorado Avalanche,Pepsi Center,17809.0
Winnipeg Jets,MTS Centre,15321.0
Columbus Blue Jackets,Nationwide Arena,18144.0
Phoenix Coyotes,Jobing.com Arena,17125.0
New York Islanders,Nassau Veterans Memorial Coliseum,13900.0
Total,,
