Arena Name,Capacity,GP,Total,Avg.,% Capacity
T-Mobile Arena,17500,33,591810,17934,102.5
Xcel Energy Center,17954,28,514132,18362,102.3
TD Garden,17565,34,607000,17853,101.6
Bridgestone Arena,17113,31,533927,17223,100.6
Lenovo Center,18680,32,601462,18796,100.6
Ball Arena,18007,32,577899,18059,100.3
Climate Pledge Arena,17100,33,565983,17151,100.3
Rogers Place,18347,32,587104,18347,100.0
Bell Centre,21105,32,675360,21105,100.0
Scotiabank Arena,18819,32,601077,18784,99.8
"American Airlines Center,Nokia Arena",18408,32,587278,18352,99.7
Madison Square Garden (IV),18006,32,573296,17916,99.5
Rogers Arena,18910,30,563736,18791,99.4
Amalie Arena,19204,32,610944,19092,99.4
"Amerant Bank Arena,Nokia Arena",19109,33,625884,18966,99.3
Capital One Arena,18506,33,599430,18165,98.2
"O2 Arena,Prudential Center",16535,30,484485,16150,97.7
Little Caesars Arena,20000,34,658576,19370,96.8
Enterprise Center,18400,32,564197,17631,95.8
"United Center,Wrigley Field",20243,32,614872,19215,94.9
"Nationwide Arena,Ohio Stadium",20556,30,583894,19463,94.7
Crypto.com Arena,18118,26,445513,17135,94.6
Wells Fargo Center,19537,31,569993,18387,94.1
Canadian Tire Centre,18652,28,488784,17457,93.6
UBS Arena,17113,30,479937,15998,93.5
Canada Life Centre,15225,32,452920,14154,93.0
Honda Center,17174,30,471707,15724,91.6
PPG Paints Arena,18387,32,535688,16740,91.0
Scotiabank Saddledome,19289,31,544256,17557,91.0
"KeyBank Center,O2 Arena",19029,32,511357,15980,84.0
SAP Center at San Jose,17435,29,400607,13814,79.2
Delta Center,16200,31,345061,11131,68.7
