Date,Time,Visitor,G_Visitor,Home,G_Home,OT_SO,Attendance,LOG,Notes,Day
2021-10-12,19:30:00,Pittsburgh Penguins,6,Tampa Bay Lightning,2,,19092.0,2:33,,Tuesday
2021-10-12,22:00:00,Seattle Kraken,3,Vegas Golden Knights,4,,18431.0,2:25,,Tuesday
2021-10-13,22:00:00,Winnipeg Jets,1,Anaheim Ducks,4,,16260.0,2:29,,Wednesday
2021-10-13,22:00:00,Chicago Blackhawks,2,Colorado Avalanche,4,,18037.0,2:32,,Wednesday
2021-10-13,22:00:00,Vancouver Canucks,2,Edmonton Oilers,3,SO,16034.0,2:42,,Wednesday
2021-10-13,19:00:00,Montreal Canadiens,1,Toronto Maple Leafs,2,,18493.0,2:33,,Wednesday
2021-10-13,19:30:00,New York Rangers,1,Washington Capitals,5,,18573.0,2:29,,Wednesday
2021-10-14,19:00:00,Montreal Canadiens,1,Buffalo Sabres,5,,8467.0,2:26,,Thursday
2021-10-14,19:00:00,New York Islanders,3,Carolina Hurricanes,6,,18680.0,2:46,,Thursday
2021-10-14,19:00:00,Arizona Coyotes,2,Columbus Blue Jackets,8,,17813.0,2:30,,Thursday
2021-10-14,19:30:00,Tampa Bay Lightning,7,Detroit Red Wings,6,OT,19515.0,2:50,,Thursday
2021-10-14,19:00:00,Pittsburgh Penguins,4,Florida Panthers,5,OT,14308.0,2:40,,Thursday
2021-10-14,22:30:00,Vegas Golden Knights,2,Los Angeles Kings,6,,16589.0,2:32,,Thursday
2021-10-14,20:00:00,Seattle Kraken,4,Nashville Predators,3,,17159.0,2:36,,Thursday
2021-10-14,19:00:00,Dallas Stars,3,New York Rangers,2,OT,17173.0,2:32,,Thursday
2021-10-14,19:00:00,Toronto Maple Leafs,2,Ottawa Senators,3,,15159.0,2:26,,Thursday
2021-10-15,22:00:00,Minnesota Wild,2,Anaheim Ducks,1,,11938.0,2:37,,Friday
2021-10-15,19:00:00,Chicago Blackhawks,3,New Jersey Devils,4,OT,16514.0,2:28,,Friday
2021-10-15,19:00:00,Vancouver Canucks,5,Philadelphia Flyers,4,SO,19338.0,2:42,,Friday
2021-10-16,19:00:00,Dallas Stars,1,Boston Bruins,3,,17850.0,2:36,,Saturday
2021-10-16,13:00:00,Arizona Coyotes,1,Buffalo Sabres,2,SO,7872.0,2:28,,Saturday
2021-10-16,19:00:00,Seattle Kraken,1,Columbus Blue Jackets,2,OT,17593.0,2:25,,Saturday
2021-10-16,21:00:00,St. Louis Blues,5,Colorado Avalanche,3,,18022.0,2:32,,Saturday
2021-10-16,19:00:00,Vancouver Canucks,1,Detroit Red Wings,3,,16274.0,2:36,,Saturday
2021-10-16,22:00:00,Calgary Flames,2,Edmonton Oilers,5,,17745.0,2:36,,Saturday
2021-10-16,18:00:00,New York Islanders,1,Florida Panthers,5,,12936.0,2:34,,Saturday
2021-10-16,22:30:00,Minnesota Wild,3,Los Angeles Kings,2,,12590.0,2:26,,Saturday
2021-10-16,19:00:00,New York Rangers,3,Montreal Canadiens,1,,21105.0,2:30,,Saturday
2021-10-16,20:00:00,Carolina Hurricanes,3,Nashville Predators,2,,17162.0,2:35,,Saturday
2021-10-16,19:00:00,Chicago Blackhawks,2,Pittsburgh Penguins,5,,18420.0,2:15,,Saturday
2021-10-16,22:00:00,Winnipeg Jets,3,San Jose Sharks,4,,16137.0,2:25,,Saturday
2021-10-16,19:00:00,Ottawa Senators,1,Toronto Maple Leafs,3,,18211.0,2:29,,Saturday
2021-10-16,19:00:00,Tampa Bay Lightning,2,Washington Capitals,1,OT,18573.0,2:43,,Saturday
2021-10-17,17:00:00,Dallas Stars,2,Ottawa Senators,3,,8067.0,2:27,,Sunday
2021-10-18,22:00:00,St. Louis Blues,7,Arizona Coyotes,4,,15235.0,2:27,,Monday
2021-10-18,21:30:00,Anaheim Ducks,3,Calgary Flames,2,OT,15174.0,2:26,,Monday
2021-10-18,19:00:00,Seattle Kraken,1,Philadelphia Flyers,6,,17727.0,2:30,,Monday
2021-10-18,19:00:00,New York Rangers,2,Toronto Maple Leafs,1,OT,18098.0,2:28,,Monday
2021-10-19,19:00:00,Vancouver Canucks,2,Buffalo Sabres,5,,7376.0,2:17,,Tuesday
2021-10-19,20:00:00,New York Islanders,4,Chicago Blackhawks,1,,20279.0,2:26,,Tuesday
2021-10-19,19:30:00,Columbus Blue Jackets,1,Detroit Red Wings,4,,14165.0,2:28,,Tuesday
2021-10-19,21:00:00,Anaheim Ducks,5,Edmonton Oilers,6,,14082.0,2:33,,Tuesday
2021-10-19,20:00:00,Winnipeg Jets,5,Minnesota Wild,6,OT,18156.0,2:51,,Tuesday
2021-10-19,19:00:00,San Jose Sharks,5,Montreal Canadiens,0,,16095.0,2:19,,Tuesday
2021-10-19,19:00:00,Seattle Kraken,2,New Jersey Devils,4,,13806.0,2:44,,Tuesday
2021-10-19,20:00:00,Los Angeles Kings,1,Nashville Predators,2,,17159.0,2:26,,Tuesday
2021-10-19,19:00:00,Dallas Stars,2,Pittsburgh Penguins,1,SO,16450.0,2:28,,Tuesday
2021-10-19,19:00:00,Florida Panthers,4,Tampa Bay Lightning,1,,19092.0,2:29,,Tuesday
2021-10-19,19:00:00,Colorado Avalanche,3,Washington Capitals,6,,18573.0,2:32,,Tuesday
2021-10-20,19:30:00,Boston Bruins,3,Philadelphia Flyers,6,,15310.0,2:26,,Wednesday
2021-10-20,22:00:00,St. Louis Blues,3,Vegas Golden Knights,1,,17690.0,2:26,,Wednesday
2021-10-21,22:00:00,Edmonton Oilers,5,Arizona Coyotes,1,,9748.0,2:25,,Thursday
2021-10-21,19:00:00,New York Islanders,2,Columbus Blue Jackets,3,OT,12937.0,2:20,,Thursday
2021-10-21,20:30:00,Vancouver Canucks,4,Chicago Blackhawks,1,,20490.0,2:27,,Thursday
2021-10-21,19:30:00,Calgary Flames,3,Detroit Red Wings,0,,14241.0,2:17,,Thursday
2021-10-21,19:00:00,Colorado Avalanche,1,Florida Panthers,4,,11245.0,2:34,,Thursday
2021-10-21,19:00:00,Carolina Hurricanes,4,Montreal Canadiens,1,,19174.0,2:29,,Thursday
2021-10-21,19:00:00,Washington Capitals,4,New Jersey Devils,1,,12377.0,2:21,,Thursday
2021-10-21,20:00:00,New York Rangers,3,Nashville Predators,1,,17159.0,2:41,,Thursday
2021-10-21,19:00:00,San Jose Sharks,2,Ottawa Senators,1,,8994.0,2:28,,Thursday
2021-10-21,20:00:00,Anaheim Ducks,1,Winnipeg Jets,5,,13886.0,2:20,,Thursday
2021-10-22,19:00:00,Boston Bruins,4,Buffalo Sabres,1,,7820.0,2:16,,Friday
2021-10-22,20:30:00,Los Angeles Kings,2,Dallas Stars,3,OT,18532.0,2:27,,Friday
2021-10-22,18:00:00,San Jose Sharks,5,Toronto Maple Leafs,3,,18603.0,2:27,,Friday
2021-10-22,22:00:00,Edmonton Oilers,5,Vegas Golden Knights,3,,17978.0,2:33,,Friday
2021-10-23,21:00:00,New York Islanders,3,Arizona Coyotes,0,,11690.0,2:26,,Saturday
2021-10-23,19:00:00,Carolina Hurricanes,5,Columbus Blue Jackets,1,,14386.0,2:22,,Saturday
2021-10-23,18:00:00,Anaheim Ducks,3,Minnesota Wild,4,OT,18055.0,2:41,,Saturday
2021-10-23,19:00:00,Detroit Red Wings,1,Montreal Canadiens,6,,19706.0,2:21,,Saturday
2021-10-23,19:00:00,Buffalo Sabres,1,New Jersey Devils,2,OT,13158.0,2:29,,Saturday
2021-10-23,13:00:00,New York Rangers,3,Ottawa Senators,2,,11167.0,2:26,,Saturday
2021-10-23,19:00:00,Florida Panthers,4,Philadelphia Flyers,2,,16936.0,2:31,,Saturday
2021-10-23,19:00:00,Toronto Maple Leafs,1,Pittsburgh Penguins,7,,15397.0,2:29,,Saturday
2021-10-23,22:00:00,Vancouver Canucks,4,Seattle Kraken,2,,17151.0,2:32,,Saturday
2021-10-23,20:00:00,Los Angeles Kings,3,St. Louis Blues,7,,18096.0,2:30,,Saturday
2021-10-23,19:00:00,Colorado Avalanche,4,Tampa Bay Lightning,3,SO,19092.0,3:04,,Saturday
2021-10-23,19:00:00,Nashville Predators,4,Winnipeg Jets,6,,14020.0,2:34,,Saturday
2021-10-23,13:00:00,Calgary Flames,4,Washington Capitals,3,OT,18573.0,2:31,,Saturday
2021-10-24,13:00:00,San Jose Sharks,3,Boston Bruins,4,,17850.0,2:32,,Sunday
2021-10-24,19:00:00,Detroit Red Wings,6,Chicago Blackhawks,3,,19042.0,2:34,,Sunday
2021-10-24,18:00:00,Nashville Predators,5,Minnesota Wild,2,,16014.0,2:38,,Sunday
2021-10-24,22:00:00,New York Islanders,2,Vegas Golden Knights,0,,17699.0,2:24,,Sunday
2021-10-25,19:00:00,Tampa Bay Lightning,1,Buffalo Sabres,5,,7417.0,2:25,,Monday
2021-10-25,19:00:00,Toronto Maple Leafs,1,Carolina Hurricanes,4,,14011.0,2:25,,Monday
2021-10-25,19:00:00,Dallas Stars,1,Columbus Blue Jackets,4,,12629.0,2:24,,Monday
2021-10-25,19:00:00,Arizona Coyotes,3,Florida Panthers,5,,13943.0,2:27,,Monday
2021-10-25,19:00:00,Calgary Flames,5,New York Rangers,1,,13590.0,2:23,,Monday
2021-10-25,19:00:00,Washington Capitals,7,Ottawa Senators,5,,11387.0,2:42,,Monday
2021-10-25,20:00:00,Los Angeles Kings,0,St. Louis Blues,3,,16655.0,2:26,,Monday
2021-10-26,22:00:00,Winnipeg Jets,4,Anaheim Ducks,3,,11951.0,2:24,,Tuesday
2021-10-26,20:00:00,Vegas Golden Knights,3,Colorado Avalanche,1,,17724.0,2:32,,Tuesday
2021-10-26,19:00:00,Calgary Flames,5,New Jersey Devils,3,,10631.0,2:33,,Tuesday
2021-10-26,20:30:00,San Jose Sharks,1,Nashville Predators,3,,16395.0,2:27,,Tuesday
2021-10-26,19:00:00,Tampa Bay Lightning,5,Pittsburgh Penguins,1,,15732.0,2:28,,Tuesday
2021-10-26,22:00:00,Montreal Canadiens,1,Seattle Kraken,5,,17151.0,2:20,,Tuesday
2021-10-26,22:00:00,Minnesota Wild,3,Vancouver Canucks,2,,18870.0,2:28,,Tuesday
2021-10-27,19:30:00,Toronto Maple Leafs,3,Chicago Blackhawks,2,OT,18616.0,2:29,,Wednesday
2021-10-27,20:30:00,Vegas Golden Knights,3,Dallas Stars,2,OT,18114.0,2:27,,Wednesday
2021-10-27,22:00:00,Philadelphia Flyers,5,Edmonton Oilers,3,,14328.0,2:24,,Wednesday
2021-10-27,19:00:00,Boston Bruins,1,Florida Panthers,4,,12306.0,2:26,,Wednesday
