Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1.0,Boston Bruins,27.6,82,54,19,9,117,0.713,258,171,3.0,6.0,0.92,-0.11,3.15,2.09,50,230,21.74,43,263,83.65,9,6,10.8,10.1,2612,9.9,2385,0.928,9
2.0,Anaheim Ducks,27.7,82,54,20,8,116,0.707,263,203,3.0,6.0,0.68,-0.01,3.21,2.48,44,275,16.0,48,270,82.22,10,8,10.9,12.6,2569,10.2,2353,0.914,6
3.0,Colorado Avalanche,26.9,82,52,22,8,112,0.683,245,216,5.0,4.0,0.4,0.04,2.99,2.63,50,252,19.84,48,249,80.72,3,1,10.9,10.5,2420,10.1,2678,0.919,4
4.0,St. Louis Blues,27.4,82,52,23,7,111,0.677,239,188,9.0,3.0,0.71,0.01,2.91,2.29,56,283,19.79,42,293,85.67,6,6,14.2,14.2,2402,10.0,2163,0.913,9
5.0,San Jose Sharks,28.7,82,51,22,9,111,0.677,239,193,10.0,7.0,0.6,0.0,2.91,2.35,50,291,17.18,33,219,84.93,8,6,9.0,11.2,2851,8.4,2281,0.915,6
6.0,Pittsburgh Penguins,28.3,82,51,24,7,109,0.665,242,204,7.0,3.0,0.47,-0.04,2.95,2.49,65,278,23.38,38,254,85.04,4,6,10.1,10.9,2454,9.9,2358,0.913,6
7.0,Chicago Blackhawks,27.5,82,46,21,15,107,0.652,261,212,6.0,8.0,0.6,0.02,3.18,2.59,50,257,19.46,46,248,81.45,9,6,8.5,8.7,2715,9.6,2229,0.905,3
8.0,Tampa Bay Lightning,27.1,82,46,27,9,101,0.616,232,209,8.0,6.0,0.25,-0.06,2.83,2.55,50,270,18.52,52,270,80.74,10,8,10.3,10.2,2446,9.5,2397,0.913,7
9.0,Montreal Canadiens,28.3,82,46,28,8,100,0.61,209,201,6.0,3.0,0.08,-0.05,2.55,2.45,48,279,17.2,43,289,85.12,6,8,13.0,12.8,2330,9.0,2541,0.921,8
10.0,Los Angeles Kings,27.4,82,46,28,8,100,0.61,198,168,8.0,6.0,0.4,0.01,2.41,2.05,43,284,15.14,50,296,83.11,5,6,10.7,11.1,2595,7.6,2148,0.922,13
11.0,Minnesota Wild,27.2,82,43,27,12,98,0.598,199,198,8.0,8.0,0.07,0.05,2.43,2.41,45,252,17.86,53,250,78.8,4,8,9.5,9.9,2180,9.1,2273,0.913,8
12.0,New York Rangers,27.4,82,45,31,6,96,0.585,214,190,4.0,3.0,0.26,-0.04,2.61,2.32,48,264,18.18,34,232,85.34,10,7,10.0,10.4,2719,7.9,2412,0.921,8
13.0,Philadelphia Flyers,27.7,82,42,30,10,94,0.573,233,227,3.0,8.0,-0.01,-0.02,2.84,2.77,58,294,19.73,48,316,84.81,8,11,14.2,13.4,2490,9.4,2508,0.909,6
14.0,Detroit Red Wings,28.6,82,39,28,15,93,0.567,217,221,5.0,9.0,-0.14,-0.04,2.65,2.7,50,282,17.73,50,295,83.05,3,5,8.8,8.6,2456,8.8,2400,0.908,5
