Player,Team
Nikita Kucherov,Tampa Bay Lightning
Nathan MacKinnon,Colorado Avalanche
Connor McDavid,Edmonton Oilers
Artemi Panarin,New York Rangers
David Pastrňák,Boston Bruins
Auston Matthews,Toronto Maple Leafs
Leon Draisaitl,Edmonton Oilers
Mikko Rantanen,Colorado Avalanche
J.T. Miller,Vancouver Canucks
William Nylander,Toronto Maple Leafs
Kirill Kaprizov,Minnesota Wild
Sidney Crosby,Pittsburgh Penguins
Filip Forsberg,Nashville Predators
Sam Reinhart,Florida Panthers
Quinn Hughes,Vancouver Canucks
